id,date,wallet_address,wallet_prefix,profile_type,ease_of_setup,setup_issue,features_used,purchase_smoothness,ui_rating,mobile_friendly,bugs_found,bug_description,improvement_suggestion,overall_rating,would_use_mainnet,tx_hash,stellar_expert_link
1,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,web3_developer,5,none,"browse_events,wallet_connect,purchase_ticket",5,5,yes_perfect,no_bugs,,Add more event categories,5,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
2,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,event_organizer,4,none,"create_event,organizer_dashboard",4,5,yes_some_issues,minor_visual,Buttons slightly small on phone,Email notifications for ticket sales,4,yes_if_mainnet,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
3,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,event_attendee,4,freighter_install,"browse_events,wallet_connect,purchase_ticket",4,4,only_desktop,no_bugs,,QR code scanning flow,4,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
4,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,general_tech,3,testnet_wallet,"browse_events,wallet_connect",3,4,yes_some_issues,no_bugs,,Simpler wallet setup docs,4,yes_if_mainnet,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
5,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,web3_developer,5,none,"browse_events,wallet_connect,purchase_ticket,transfer_ticket",5,5,yes_perfect,no_bugs,,Secondary market resale controls,5,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
6,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,event_attendee,4,none,"browse_events,wallet_connect,purchase_ticket",4,5,yes_perfect,no_bugs,,Better event search/filter,4,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
7,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,event_organizer,5,none,"create_event,organizer_dashboard,verify_ticket",5,5,yes_perfect,no_bugs,,Analytics export feature,5,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
8,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,general_tech,3,freighter_install,"browse_events,wallet_connect",3,4,only_desktop,minor_visual,Some text too small on mobile,Video walkthrough on landing page,3,maybe_more_features,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
9,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,web3_developer,5,none,"create_event,purchase_ticket,verify_ticket,organizer_dashboard",5,5,yes_perfect,no_bugs,,Batch ticket transfers,5,yes_absolutely,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
10,YYYY-MM-DD,FULL_WALLET_ADDRESS,GXXX...,event_attendee,4,none,"browse_events,wallet_connect,purchase_ticket,my_tickets",4,4,yes_perfect,no_bugs,,Show ticket history timeline,4,yes_if_mainnet,TX_HASH_HERE,https://stellar.expert/explorer/testnet/tx/TX_HASH_HERE
